Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Zion Williamson,DUKE,.702,.708,165.9,0.127,0.182,0.156,0.146,0.128,0.038,0.057999999999999996,0.284,-3.1,1.7,133.6,86.4,47.3,677.4,37.8,0.702,0.708,165.9,-3.1,1.7,133.6,86.4,47.3,677.4,37.8
Brandon Clarke,GU,.699,.693,164.8,0.139,0.19699999999999998,0.171,0.121,0.113,0.023,0.11,0.239,-1.0,1.7,138.1,83.8,54.4,683.4,34.6,0.699,0.693,164.8,-1,1.7,138.1,83.8,54.4,683.4,34.6
Cameron Jackson,WC,.597,.585,158.9,0.14400000000000002,0.267,0.20600000000000002,0.24,0.14800000000000002,0.037000000000000005,0.053,0.31,-1.2,1.5,121.8,86.2,35.6,468.2,32.4,0.597,0.585,158.9,-1.2,1.5,121.8,86.2,35.6,468.2,32.4
Matt Rafferty,FU,.661,.626,170.2,0.096,0.215,0.158,0.258,0.135,0.045,0.036000000000000004,0.235,2.4,1.6,134.4,87.5,46.9,649.0,32.0,0.661,0.626,170.2,2.4,1.6,134.4,87.5,46.9,649,32
Mike Daum,SDSU,.623,.572,171.9,0.08900000000000001,0.28300000000000003,0.196,0.109,0.098,0.012,0.035,0.336,-3.0,1.5,124.2,96.1,28.1,629.8,32.0,0.623,0.572,171.9,-3,1.5,124.2,96.1,28.1,629.8,32
Anthony Lamb,UVM,.606,.568,164.2,0.068,0.233,0.152,0.179,0.11,0.017,0.07200000000000001,0.32899999999999996,-2.2,1.4,121.2,89.4,31.8,518.4,32.0,0.606,0.568,164.2,-2.2,1.4,121.2,89.4,31.8,518.4,32
Nathan Knight,W&M,.629,.591,155.4,0.10800000000000001,0.226,0.168,0.27899999999999997,0.14,0.008,0.079,0.32899999999999996,-1.1,1.6,121.8,105.1,16.7,541.1,31.7,0.629,0.591,155.4,-1.1,1.6,121.8,105.1,16.7,541.1,31.7
Chris Clemons,CAM,.610,.550,167.4,0.024,0.145,0.083,0.193,0.094,0.024,0.011000000000000001,0.39,-1.8,1.5,120.2,103.4,16.7,547.6,31.4,0.61,0.55,167.4,-1.8,1.5,120.2,103.4,16.7,547.6,31.4
Ja Morant,MSU,.612,.553,167.5,0.039,0.127,0.086,0.518,0.205,0.027000000000000003,0.023,0.33299999999999996,4.1,1.5,119.5,95.1,24.4,680.8,29.9,0.612,0.553,167.5,4.1,1.5,119.5,95.1,24.4,680.8,29.9
Dylan Windler,BEL,.681,.651,181.6,0.068,0.273,0.177,0.136,0.11800000000000001,0.023,0.017,0.257,-1.1,1.6,129.3,93.9,35.4,643.4,29.0,0.681,0.651,181.6,-1.1,1.6,129.3,93.9,35.4,643.4,29
