"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Alec Burks","CU",0.574,0.495,158.5,0.093,0.15,0.123,0.196,0.127,0.02,0.01,0.323,-2,1.5,120.4,104,16.4,494,27.6,"SG",20,"UTA",59,939,14,0.506,0.126,0.401,0.069,0.093,0.081,0.095,0.015,0.004,0.108,0.225,1.1,0.4,1.5,0.076,-0.2,-2.2,-2.5,-0.1,"SG",21,"UTA",64,1137,11.5,0.507,0.237,0.332,0.038,0.112,0.075,0.13,0.016,0.009,0.143,0.207,0.3,0.7,1,0.044,-1.4,-1.3,-2.7,-0.2,"SG",22,"UTA",78,2193,15.8,0.547,0.172,0.449,0.03,0.107,0.068,0.169,0.017,0.005,0.13,0.239,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5
"2","Brandon Knight","UNO",0.604,0.557,181.4,0.096,0.127,0.117,0.21,0.26,0.218,0,0.135,1.3,1.5,134.4,54.3,80,115.8,21.7,"PG",20,"DET",66,2129,11.7,0.511,0.359,0.178,0.018,0.103,0.059,0.208,0.012,0.004,0.171,0.217,0.3,1,1.3,0.029,0,-2,-1.9,0,"PG",21,"DET",75,2365,12,0.511,0.372,0.256,0.026,0.096,0.06,0.213,0.013,0.003,0.173,0.228,0.3,0.8,1.1,0.022,0,-2.1,-2.1,-0.1,"PG",22,"MIL",72,2400,16.5,0.523,0.31,0.296,0.021,0.103,0.061,0.266,0.015,0.006,0.132,0.268,2.4,0.4,2.8,0.055,2,-2.9,-0.9,0.7
"4","Chandler Parsons","UF",0.551,0.546,140.4,0.073,0.194,0.135,0.216,0.176,0.017,0.013,0.192,1,1.3,112.9,95.4,17.5,428.6,18.6,"SF",23,"HOU",63,1804,13.3,0.513,0.324,0.142,0.057,0.136,0.096,0.117,0.021,0.012,0.122,0.167,1.6,1.8,3.4,0.09,0.5,1.2,1.7,1.7,"SF",24,"HOU",76,2758,15.3,0.584,0.421,0.165,0.033,0.132,0.083,0.156,0.014,0.009,0.127,0.183,4.9,2.1,7,0.121,2.4,0.4,2.7,3.3,"SF",25,"HOU",74,2783,15.9,0.565,0.356,0.224,0.029,0.128,0.082,0.173,0.016,0.008,0.117,0.193,5.1,2.5,7.6,0.131,2.2,0.4,2.6,3.2
"17","Chris Singleton","FSU",0.529,0.493,146.7,0.079,0.17,0.126,0.09,0.15,0.039,0.06,0.243,-4.6,1.3,106.2,82.8,23.4,283.8,20.4,"SF",22,"WAS",66,1431,8.3,0.462,0.407,0.141,0.034,0.151,0.092,0.05,0.025,0.016,0.103,0.115,0.1,1.5,1.5,0.052,-2.2,1.2,-1,0.4,"PF",23,"WAS",57,924,7.8,0.425,0.149,0.29,0.061,0.161,0.11,0.063,0.021,0.021,0.142,0.157,-1,1.5,0.5,0.028,-5.2,1.9,-3.3,-0.3,"SF",24,"WAS",25,250,8.8,0.481,0.284,0.373,0.082,0.175,0.128,0.035,0.019,0.01,0.179,0.172,-0.2,0.3,0.2,0.033,-4.8,-0.9,-5.6,-0.2
"18","Chris Wright","DAY",0.495,0.464,128.5,0.086,0.239,0.161,0.154,0.176,0.017,0.058,0.283,-5.7,1.2,96.1,92.2,3.8,347.9,18.7,"SF",23,"GSW",24,186,18.6,0.597,0,0.689,0.116,0.158,0.137,0.033,0.02,0.054,0.12,0.165,0.5,0.2,0.6,0.163,-1.2,0.5,-0.6,0.1,"SG",23,"DAL",3,4,-1.9,0.5,0,0,0,0,0,0,0,0,0.333,0.342,0,0,0,-0.375,-15.3,-6.8,-22.1,0,"SF",25,"MIL",8,126,16.5,0.577,0.029,0.429,0.088,0.094,0.091,0.069,0.029,0.032,0.107,0.167,0.2,0.1,0.3,0.102,-0.4,0.2,-0.2,0.1
"20","Cory Joseph","UT",0.526,0.503,153.4,0.022,0.095,0.059,0.173,0.131,0.019,0.009,0.173,1.6,1.2,112.1,93.7,18.4,278.4,14.2,"PG",20,"SAS",29,266,6.9,0.374,0.214,0.243,0.022,0.085,0.054,0.174,0.014,0.008,0.134,0.154,-0.2,0.2,0,0.001,-4.2,-0.6,-4.8,-0.2,"PG",21,"SAS",28,388,13.5,0.528,0.191,0.191,0.038,0.113,0.077,0.202,0.02,0.007,0.15,0.166,0.4,0.5,0.9,0.113,-1.1,0.6,-0.5,0.1,"SG",22,"SAS",68,936,14.7,0.558,0.143,0.362,0.04,0.087,0.064,0.172,0.019,0.011,0.123,0.169,1.6,1.3,2.9,0.148,0,0.6,0.6,0.6
"21","Darius Morris","UM",0.545,0.509,145.4,0.032,0.109,0.071,0.443,0.176,0.02,0.001,0.273,4.8,1.3,111.8,100.5,11.3,405.1,21.5,"PG",21,"LAL",19,169,5.2,0.5,0.214,0.214,0.014,0.088,0.053,0.191,0.006,0,0.292,0.176,-0.2,0.1,-0.2,-0.045,-5.6,-2.5,-8.1,-0.3,"PG",22,"LAL",48,683,8.1,0.475,0.351,0.197,0.04,0.052,0.046,0.168,0.016,0.002,0.181,0.162,-0.1,0.3,0.2,0.016,-2.6,-1.7,-4.3,-0.4,"PG",23,"MEM",5,66,7.9,0.433,0.438,0.188,0.072,0.072,0.072,0.174,0.024,0,0.257,0.163,-0.1,0.1,0,-0.016,-3,-0.2,-3.2,0
"25","DeAndre Liggins","UK",0.523,0.492,146.3,0.021,0.12,0.072,0.142,0.149,0.023,0.023,0.158,0.8,1.2,108.6,95.6,13.1,278.9,13.6,"SF",23,"ORL",17,115,8.9,0.495,0.16,0.76,0.059,0.092,0.075,0.071,0.028,0,0.231,0.177,-0.1,0.1,0,0,-4.5,0.1,-4.4,-0.1,"SG",24,"OKC",39,290,9.4,0.528,0.404,0.383,0.055,0.147,0.105,0.072,0.032,0.008,0.203,0.108,0.1,0.5,0.6,0.092,-1.6,1.5,-0.1,0.1,"SG",25,"MIA",1,1,129.1,1,0,0,1,0,0.628,0,0,0,0,0.478,0,0,0,2.123,47.8,-23.1,24.8,0
"26","Derrick Williams","U of A",0.69,0.65,190.9,0.119,0.218,0.171,0.087,0.157,0.019,0.023,0.289,-6.2,1.9,128.8,96.1,32.7,546.6,30.2,"PF",20,"MIN",66,1418,12.9,0.499,0.277,0.392,0.06,0.184,0.122,0.045,0.011,0.016,0.117,0.207,0.6,1.2,1.8,0.059,-2.3,-0.8,-3.1,-0.4,"PF",21,"MIN",78,1916,14.5,0.515,0.249,0.346,0.056,0.206,0.128,0.042,0.012,0.015,0.1,0.235,1,2.1,3,0.076,-2.1,-1.5,-3.7,-0.8,"SF",22,"SAC",67,1658,11.9,0.533,0.196,0.568,0.046,0.158,0.101,0.051,0.014,0.008,0.116,0.161,1.4,1.1,2.5,0.073,-1.7,-0.4,-2.1,-0.1
"29","E'Twaun Moore","PU",0.545,0.518,155.7,0.051,0.125,0.088,0.209,0.098,0.022,0.016,0.281,1,1.2,114.4,94.1,20.3,403.1,22.4,"PG",22,"BOS",38,331,8.8,0.474,0.398,0.062,0.015,0.099,0.059,0.17,0.018,0.007,0.153,0.199,-0.3,0.5,0.2,0.031,-3,-0.5,-3.5,-0.1,"SG",23,"ORL",75,1682,10.7,0.471,0.329,0.099,0.032,0.08,0.056,0.191,0.016,0.011,0.144,0.197,-0.4,0.7,0.2,0.006,-1.8,-1.4,-3.2,-0.5,"SG",24,"ORL",79,1506,11.1,0.513,0.353,0.149,0.022,0.081,0.051,0.118,0.02,0.007,0.102,0.164,0.6,1.1,1.7,0.055,-1.5,-0.8,-2.3,-0.1
